Search Query,Clicks,Impressions,CTR,Average Position
the yellow wallpaper,"13,967","92,918",15.03%,4.4
medline,"13,269","238,765",5.56%,4.5
pubmed,"10,909","4,833,282",0.23%,3.3
the yellow wallpaper pdf,"10,750","14,157",75.93%,1
hippocratic oath,"4,590","147,405",3.11%,4.8
national library of medicine,"3,755","6,901",54.41%,1.1
medline database,"3,699","7,370",50.19%,1.1
nlm,"2,797","13,546",20.65%,1.4
yellow wallpaper pdf,"2,060","2,807",73.39%,1
umls,"2,047","4,124",49.64%,1.1
yellow wallpaper,"1,781","58,943",3.02%,5.4
us national library of medicine,"1,343","2,493",53.87%,1
pubmed indexed journals,"1,204","2,464",48.86%,1.2
medicine wheel,"1,197","28,509",4.20%,4.6
rxnorm,"1,193","2,137",55.83%,1
pub med,843,"213,538",0.39%,3
medical subject headings,777,"1,589",48.90%,1.2
library of congress subject headings,764,"3,789",20.16%,3.3
pubmed journals,705,"7,056",9.99%,1.8
nlm classification,700,"1,021",68.56%,1
the hippocratic oath,660,"4,910",13.44%,2.8
how is insulin made,637,"3,949",16.13%,1
medline search,620,"1,410",43.97%,1.4
visible human project,526,"1,471",35.76%,2.3
medline journals,492,"1,120",43.93%,1.7
index medicus,452,"4,837",9.34%,3.7
ncbi,439,"212,689",0.21%,4.1
how is penicillin made,405,"1,855",21.83%,1
nrsa,376,"3,877",9.70%,4.1
medline pubmed,354,"10,509",3.37%,2.7
pubmed journal list,333,684,48.68%,1.3
national center for health statistics,332,"4,344",7.64%,2.3
the yellow wallpaper short story,321,952,33.72%,3.5
mathieu orfila,316,"4,856",6.51%,3.3
pubmed mesh,316,"14,535",2.17%,3.3
genetics pdf,311,"2,244",13.86%,4.4
mesh keywords,304,721,42.16%,1.3
pubmed medline,291,"9,924",2.93%,2.6
mesh,287,"116,129",0.25%,3.2
penicillin,285,"191,413",0.15%,9.4
pubmed tutorial,283,455,62.20%,1.1
the yellow wall paper,276,"2,083",13.25%,3.9
umls metathesaurus,259,392,66.07%,1
u.s. national library of medicine,258,518,49.81%,1.1
the yellow wallpaper by charlotte perkins gilman,255,"1,261",20.22%,3.2
the yellow wallpaper story,255,657,38.81%,3.6
medline articles,240,664,36.14%,1.3
what is mesh,232,"3,691",6.29%,2.9
pubmed indexed journal,230,499,46.09%,1.1
snomed,228,"6,945",3.28%,6.2
nlm.nih.gov,222,450,49.33%,1.9
how to make penicillin,221,"1,876",11.78%,2
mesh headings,221,689,32.08%,1.5
structured abstract,220,874,25.17%,1
variolation,211,"6,329",3.33%,1.9
yellow wallpaper short story,210,827,25.39%,3.5
pubmed journals list,204,415,49.16%,1.2
united states national library of medicine,202,702,28.77%,2.5
hawaiian proverbs,193,726,26.58%,1.5
charlotte perkins gilman the yellow wallpaper,190,"1,364",13.93%,3.8
med line,190,"3,437",5.53%,5.6
the four humours,188,"2,724",6.90%,3.8
umls.lcu,177,517,34.24%,1.1
www.pubmed.gov,175,"11,021",1.59%,3.7
nih nrsa,172,295,58.31%,1
charlotte perkins gilman the yellow wallpaper pdf,169,244,69.26%,1
http //www.nlm.nih.gov/visible proofs/education/anthropological/index.html,169,233,72.53%,1
the yellow wallpaper full text pdf,169,279,60.57%,1
the visible human project,165,384,42.97%,1.5
health economics pdf,164,857,19.14%,2
national medical library,164,553,29.66%,6.1
original hippocratic oath,163,410,39.76%,1.2
four humors,161,"5,122",3.14%,4.6
medlineplus,160,"27,440",0.58%,4.3
the yellow wallpaper charlotte perkins gilman,160,787,20.33%,4.1
nih grant deadlines 2019,157,422,37.20%,1
us national library of medicine national institutes of health,156,474,32.91%,1.4
native american medicine wheel,155,"1,516",10.22%,3.1
snomed code,154,"1,302",11.83%,4.1
snomed ct,154,"4,554",3.38%,7.1
visible proofs forensic views of the body,153,202,75.74%,1
health technology assessment,149,"3,539",4.21%,7.3
nlm nih,148,378,39.15%,1
pubmed search,148,"8,114",1.82%,3.3
recombinant insulin,148,760,19.47%,1.4
mesh tree,145,462,31.39%,1
first c section,144,629,22.89%,1
mesh browser,144,"2,824",5.10%,1.8
rx norm,144,224,64.29%,1
why i wrote the yellow wallpaper pdf,144,211,68.25%,1.1
hypocratic oath,142,"3,400",4.18%,4
mesh terms,140,"7,875",1.78%,1.7
penicillin mold,140,"1,676",8.35%,1
pubmed journals search,138,"3,512",3.93%,3.7
www.nlm.nih.gov,137,300,45.67%,1.8
unified medical language system,135,263,51.33%,1.7
how to use pubmed,134,449,29.84%,2.5
history of medicine,131,"5,740",2.28%,9.5
pubmed journal,131,"2,972",4.41%,2.8
list of pubmed indexed journals 2019,130,312,41.67%,1.5
virgin soil epidemic,128,"1,550",8.26%,2.2
how insulin is made,127,761,16.69%,1
mesh database,127,"1,585",8.01%,2.9
medline journal,126,224,56.25%,1
medline plus,124,"18,895",0.66%,3.5
yellow wallpaper story,124,490,25.31%,3.9
olelo noeau,121,"1,249",9.69%,4.6
ncbi.nlm.nih.gov,120,"5,106",2.35%,3.4
pubmed search strategy,120,269,44.61%,1.6
the four humors,119,"3,064",3.88%,4.9
what is pubmed,119,"2,010",5.92%,3.4
medpub,118,"4,851",2.43%,2.1
the yellow wall paper pdf,118,165,71.52%,1
snomed codes,117,"1,032",11.34%,5.7
snomed code lookup,116,625,18.56%,3.1
pubmed dataset,115,195,58.97%,1
why i wrote the yellow wallpaper,114,"1,018",11.20%,3.3
pubmed indexed,113,201,56.22%,1
snomed codes list download,113,209,54.07%,1.3
what is medline,113,790,14.30%,2.2
native american medicine,112,966,11.59%,4.3
nih deadlines,112,"2,388",4.69%,2.8
us library of medicine,112,170,65.88%,1
where does penicillin come from,112,"1,118",10.02%,1
four humours,111,"3,780",2.94%,4.4
medline database search,111,254,43.70%,1.4
nlm technical bulletin,110,121,90.91%,1.1
how to make insulin,109,"3,899",2.80%,4.3
medical subject headings (mesh),109,211,51.66%,1.1
yellow wall paper,109,"1,322",8.25%,4.8
claims data,106,741,14.30%,2
galen,106,"27,048",0.39%,9.1
nct number,106,768,13.80%,3.3
the yellow wallpaper by charlotte perkins gilman pdf,105,174,60.34%,1
pubmed health,103,"4,911",2.10%,2.4
the yellow wallpaper charlotte perkins gilman pdf,103,142,72.54%,1
what is penicillin made from,103,"1,079",9.55%,1
u.s national library of medicine,102,182,56.04%,1
al razi,100,"4,808",2.08%,5.9
pubmed search terms,100,415,24.10%,2
medicine wheel meaning,99,959,10.32%,3.6
the medicine wheel,99,"2,325",4.26%,8.1
what is penicillin made of,97,956,10.15%,1
pubmed download,96,179,53.63%,1.3
medline research,95,173,54.91%,1
docline,94,"2,285",4.11%,2.6
hippocratic,92,"10,522",0.87%,4.9
hippocratic oath do no harm,92,"1,517",6.06%,4.3
mesh subject headings,92,228,40.35%,2
when was the first c section,92,427,21.55%,1
cesarean section history,91,"1,370",6.64%,1
the yellow wallpaper full text,91,254,35.83%,4.6
how to search pubmed,90,293,30.72%,3.4
nlm nih gov,89,191,46.60%,1.8
ndf-rt,88,218,40.37%,1.3
medline indexed journals,87,176,49.43%,1.4
metathesaurus,87,227,38.33%,1.1
pudmed,87,"17,764",0.49%,3.4
the national library of medicine,87,147,59.18%,1.1
us national medical library,87,161,54.04%,1.1
pubmed journal abbreviations,86,665,12.93%,2.6
pubmed database,85,"2,248",3.78%,3.1
history of anatomy,84,"1,511",5.56%,5.1
medical subject heading,84,168,50.00%,1.1
pubmed list of journals,83,109,76.15%,1.2
how to search on pubmed,82,240,34.17%,3
library of medicine,82,188,43.62%,1.1
journals indexed in pubmed,81,124,65.32%,1.2
how to search in pubmed,80,291,27.49%,3
nchs,80,"14,078",0.57%,8.2
hippocrates oath,79,"1,427",5.54%,3.1
human insulin production,79,566,13.96%,1.7
medline index,79,104,75.96%,1
medline search engine,79,315,25.08%,1.6
concept of genetics pdf,78,325,24.00%,1.2
medicinal herbs,77,"3,008",2.56%,7.8
nrsa grant,77,220,35.00%,1.8
snomed ct download,77,127,60.63%,1.1
the yellow paper pdf,77,124,62.10%,1
nih nlm,76,207,36.71%,1
insulin production by bacteria,75,420,17.86%,1.3
medline research database,75,136,55.15%,1.6
nlm.nih,75,184,40.76%,1
medical library,74,"1,237",5.98%,6.7
nih r21 deadline,74,418,17.70%,2.4
美國醫學圖書館,74,213,34.74%,3.9
insulin production,73,"3,775",1.93%,5.3
list of pubmed indexed journals,73,117,62.39%,1.1
mesh medical subject headings,73,163,44.79%,1.2
pubmed.com,73,"17,236",0.42%,4.1
recombinant dna insulin,73,186,39.25%,1.4
autopsy video,72,"1,148",6.27%,7.3
humors of the body,72,516,13.95%,1
johnson v mcintosh,72,"1,581",4.55%,6.4
monster genetics,72,235,30.64%,1.6
native voices,72,297,24.24%,1.6
nlm mesh,72,101,71.29%,1
pupmed,72,"9,306",0.77%,3.2
4 humours,71,"2,057",3.45%,4.1
bioethics,71,"15,682",0.45%,12
how did the spanish treat the tainos,71,537,13.22%,2.4
yellow wallpaper gilman,71,226,31.42%,4
pubmed indexed indian journals,70,183,38.25%,1.5
the yellow walpaper,70,389,17.99%,4.6
what is snomed,70,400,17.50%,3.4
the yellow wallpaper gilman pdf,69,105,65.71%,1
history of cesarean section,68,377,18.04%,1.2
trail of tears timeline,67,672,9.97%,2.9
4 humors,66,"3,588",1.84%,4.4
national library medicine,66,183,36.07%,1.6
nih r21 deadlines,66,155,42.58%,1.7
free medline,65,374,17.38%,1.7
index medicus keywords,65,227,28.63%,1.8
nih library of medicine,65,125,52.00%,1.6
pubmed index,65,149,43.62%,1.2
the yellow wallpaper gilman,65,275,23.64%,3.3
visible human,65,226,28.76%,2.3
mesh download,64,204,31.37%,1.2
first cesarean section,63,304,20.72%,1.2
gilman the yellow wallpaper,63,449,14.03%,3.2
single nucleotide polymorphism pdf,63,212,29.72%,3.8
mendelian traits,62,"3,455",1.79%,6.2
mesh medical,62,828,7.49%,2
pubmed app,62,"1,112",5.58%,2.4
basic genetics pdf,61,188,32.45%,2
